province_state,country_region,date,latitude,longitude,location_geom,confirmed,deaths,recovered,active,fips,admin2,combined_key
,Brunei,25/06/2020,"4,5353","114,7277",POINT(114.7277 4.5353),141,3,138,0,,,Brunei
,Bulgaria,25/06/2020,"42,7339","25,4858",POINT(25.4858 42.7339),4408,211,2370,1827,,,Bulgaria
,Burkina Faso,25/06/2020,"12,2383","-1,5616",POINT(-1.5616 12.2383),934,53,826,55,,,Burkina Faso
,Burma,25/06/2020,"21,9162","95,956",POINT(95.956 21.9162),293,6,211,76,,,Burma
,Burundi,25/06/2020,"-3,3731","29,9189",POINT(29.9189 -3.3731),144,1,93,50,,,Burundi
,Cabo Verde,25/06/2020,"16,5388","-23,0418",POINT(-23.0418 16.5388),1003,8,562,433,,,Cabo Verde
,Cambodia,25/06/2020,"11,55","104,9167",POINT(104.9167 11.55),130,0,127,3,,,Cambodia
,Cameroon,25/06/2020,"3,848","11,5021",POINT(11.5021 3.848),12592,313,10100,2179,,,Cameroon
,Central African Republic,25/06/2020,"6,6111","20,9394",POINT(20.9394 6.6111),3244,40,607,2597,,,Central African Republic
,Chad,25/06/2020,"15,4542","18,7322",POINT(18.7322 15.4542),863,74,774,15,,,Chad
,Comoros,25/06/2020,"-11,6455","43,3333",POINT(43.3333 -11.6455),272,7,161,104,,,Comoros
,Congo (Brazzaville),25/06/2020,"-0,228","15,8277",POINT(15.8277 -0.228),1087,37,456,594,,,Congo (Brazzaville)
,Congo (Kinshasa),25/06/2020,"-4,0383","21,7587",POINT(21.7587 -4.0383),6411,142,885,5384,,,Congo (Kinshasa)
,Costa Rica,25/06/2020,"9,7489","-83,7534",POINT(-83.7534 9.7489),2684,12,1227,1445,,,Costa Rica
,Cote d'Ivoire,25/06/2020,"7,54","-5,5471",POINT(-5.5471 7.54),8334,60,3487,4787,,,Cote d'Ivoire
,Croatia,25/06/2020,"45,1","15,2",POINT(15.2 45.1),2483,107,2149,227,,,Croatia
,Cuba,25/06/2020,"21,521757","-77,781167",POINT(-77.781167 21.521757),2321,85,2171,65,,,Cuba
,Cyprus,25/06/2020,"35,1264","33,4299",POINT(33.4299 35.1264),992,19,824,149,,,Cyprus
,Czechia,25/06/2020,"49,8175","15,473",POINT(15.473 49.8175),10870,345,7649,2876,,,Czechia
,Denmark,25/06/2020,"56,2639","9,5018",POINT(9.5018 56.2639),12636,603,11460,573,,,Denmark
,Diamond Princess,25/06/2020,,,,712,13,651,48,,,Diamond Princess
,Djibouti,25/06/2020,"11,8251","42,5903",POINT(42.5903 11.8251),4635,52,4269,314,,,Djibouti
,Dominica,25/06/2020,"15,415","-61,371",POINT(-61.371 15.415),18,0,18,0,,,Dominica
,Dominican Republic,25/06/2020,"18,7357","-70,1627",POINT(-70.1627 18.7357),29141,698,16223,12220,,,Dominican Republic
,Ecuador,25/06/2020,"-1,8312","-78,1834",POINT(-78.1834 -1.8312),53156,4343,26097,22716,,,Ecuador
,Egypt,25/06/2020,"26,820553","30,802498",POINT(30.802498 26.820553),61130,2533,16338,42259,,,Egypt
,El Salvador,25/06/2020,"13,7942","-88,8965",POINT(-88.8965 13.7942),5336,126,3116,2094,,,El Salvador
,Equatorial Guinea,25/06/2020,"1,6508","10,2679",POINT(10.2679 1.6508),2001,32,515,1454,,,Equatorial Guinea
,Eritrea,25/06/2020,"15,1794","39,7823",POINT(39.7823 15.1794),144,0,39,105,,,Eritrea
,Estonia,25/06/2020,"58,5953","25,0136",POINT(25.0136 58.5953),1984,69,1790,125,,,Estonia
,Eswatini,25/06/2020,"-26,5225","31,4659",POINT(31.4659 -26.5225),706,8,347,351,,,Eswatini
,Ethiopia,25/06/2020,"9,145","40,4897",POINT(40.4897 9.145),5175,81,1544,3550,,,Ethiopia
,Fiji,25/06/2020,"-17,7134","178,065",POINT(178.065 -17.7134),18,0,18,0,,,Fiji
,Finland,25/06/2020,"61,92411","25,748151",POINT(25.748151 61.92411),7172,327,6600,245,,,Finland
,France,25/06/2020,"46,2276","2,2137",POINT(2.2137 46.2276),191288,29680,71322,90286,,,France
,Gabon,25/06/2020,"-0,8037","11,6094",POINT(11.6094 -0.8037),5087,40,2270,2777,,,Gabon
,Gambia,25/06/2020,"13,4432","-15,3101",POINT(-15.3101 13.4432),43,2,26,15,,,Gambia
,Georgia,25/06/2020,"42,3154","43,3569",POINT(43.3569 42.3154),917,14,776,127,,,Georgia
,Ghana,25/06/2020,"7,9465","-1,0232",POINT(-1.0232 7.9465),15473,95,11431,3947,,,Ghana
,Greece,25/06/2020,"39,0742","21,8243",POINT(21.8243 39.0742),3321,191,1374,1756,,,Greece
,Grenada,25/06/2020,"12,1165","-61,679",POINT(-61.679 12.1165),23,0,23,0,,,Grenada
,Guatemala,25/06/2020,"15,7835","-90,2308",POINT(-90.2308 15.7835),15619,623,2949,12047,,,Guatemala
,Guinea,25/06/2020,"9,9456","-9,6966",POINT(-9.6966 9.9456),5174,29,3861,1284,,,Guinea
,Guinea-Bissau,25/06/2020,"11,8037","-15,1804",POINT(-15.1804 11.8037),1556,19,191,1346,,,Guinea-Bissau
,Guyana,25/06/2020,"4,860416","-58,93018",POINT(-58.93018 4.860416),215,12,108,95,,,Guyana
,Haiti,25/06/2020,"18,9712","-72,2852",POINT(-72.2852 18.9712),5543,96,512,4935,,,Haiti
,Holy See,25/06/2020,"41,9029","12,4534",POINT(12.4534 41.9029),12,0,12,0,,,Holy See
,Honduras,25/06/2020,"15,2","-86,2419",POINT(-86.2419 15.2),15366,426,1600,13340,,,Honduras
,Hungary,25/06/2020,"47,1625","19,5033",POINT(19.5033 47.1625),4123,577,2640,906,,,Hungary
,Iceland,25/06/2020,"64,9631","-19,0208",POINT(-19.0208 64.9631),1830,10,1811,9,,,Iceland
,Indonesia,25/06/2020,"-0,7893","113,9213",POINT(113.9213 -0.7893),50187,2620,20449,27118,,,Indonesia
,Iran,25/06/2020,"32,427908","53,688046",POINT(53.688046 32.427908),215096,10130,175103,29863,,,Iran
